eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
82,0.1,0.31,0.5,72,54,59,47,46,63,68,48,76,87,87,83,86,88,71,83,30,0.1,1,15,8
83,0.1,0.31,0.5,49,51,49,76,56,42,75,67,77,87,85,-111,86,81,45,84,56,0.1,0,15,8
84,0.1,0.31,0.5,64,59,67,78,68,73,95,62,79,87,74,83,86,87,-129,88,30,0.1,0,15,8
85,0.1,0.31,0.5,73,57,64,87,54,65,69,59,76,86,87,-124,85,88,74,83,27,0.1,0,15,8
86,0.1,0.31,0.5,47,52,48,26,54,27,44,64,78,84,80,81,86,88,73,75,28,0.1,1,15,8
87,0.1,0.31,0.5,69,67,68,76,62,77,82,58,78,78,81,83,85,86,-128,84,29,0.1,0,15,8
88,0.1,0.31,0.5,76,57,64,74,60,63,77,63,42,87,85,83,86,88,60,82,59,0.1,1,15,8
89,0.1,0.31,0.5,49,51,43,33,53,29,40,64,77,87,87,84,86,88,74,76,27,0.1,1,15,8
90,0.1,0.31,0.5,68,63,62,73,63,78,80,60,78,86,87,80,86,85,71,92,30,0.1,1,15,8
91,0.1,0.31,0.5,61,54,58,65,58,54,70,69,77,86,85,83,86,88,66,75,35,0.1,1,15,8
92,0.1,0.31,0.5,53,49,49,40,47,37,49,59,79,87,87,83,85,88,72,81,29,0.1,1,15,8
93,0.1,0.31,0.5,68,65,64,71,66,86,79,60,78,87,87,82,82,-153,72,80,54,0.1,0,15,8
94,0.1,0.31,0.5,69,57,59,66,61,80,75,69,79,87,87,83,86,88,72,76,29,0.1,1,15,8
95,0.1,0.31,0.5,50,54,49,42,53,20,49,66,73,81,85,81,78,87,69,80,32,0.1,1,15,8
96,0.1,0.31,0.5,74,69,63,74,68,77,91,82,76,87,86,81,86,86,37,-111,64,0.1,0,15,8
97,0.1,0.31,0.5,69,57,59,67,61,77,71,62,79,87,87,83,86,85,69,77,32,0.1,1,15,8
98,0.1,0.31,0.5,51,48,54,40,66,23,53,47,76,87,84,83,58,87,70,80,43,0.1,1,15,8
99,0.1,0.31,0.5,76,67,65,74,65,88,80,79,73,87,87,81,86,-149,72,84,50,0.1,0,15,8
100,0.1,0.31,0.5,72,57,80,67,61,81,73,56,79,87,-116,77,85,88,67,82,34,0.1,0,15,8
101,0.1,0.31,0.5,57,43,52,43,48,15,49,44,67,87,86,85,86,88,72,82,34,0.1,1,15,8
102,0.1,0.31,0.5,71,77,39,76,66,84,82,81,74,76,87,79,84,81,72,75,29,0.1,1,15,8
103,0.1,0.31,0.5,64,55,73,64,55,76,68,57,78,87,87,83,86,88,71,82,30,0.1,1,15,8
104,0.1,0.31,0.5,56,45,58,44,53,21,54,45,79,87,87,83,86,84,71,82,30,0.1,1,15,8
105,0.1,0.31,0.5,70,88,41,72,66,91,82,81,79,-144,87,82,84,73,71,82,45,0.1,0,15,8
106,0.1,0.31,0.5,65,80,73,66,58,78,69,58,78,86,86,81,86,87,71,84,30,0.1,1,15,8
107,0.1,0.31,0.5,56,22,57,43,53,17,55,47,79,87,87,82,86,88,70,79,31,0.1,1,15,8
108,0.1,0.31,0.5,71,75,48,71,67,70,80,82,79,87,86,83,86,88,82,82,22,0.1,1,15,8
109,0.1,0.31,0.5,66,76,69,72,64,82,66,59,79,87,-105,83,84,84,70,84,31,0.1,0,15,8
110,0.1,0.31,0.5,48,23,74,42,46,23,53,43,77,87,87,83,86,81,72,80,29,0.1,1,15,8
111,0.1,0.31,0.5,64,92,29,65,61,68,75,70,79,61,87,81,86,88,68,80,40,0.1,1,15,8
112,0.1,0.31,0.5,75,75,73,77,68,74,74,67,79,87,87,78,86,88,72,84,29,0.1,1,15,8
