eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
109,0.1,0.31,0.5,49,47,34,50,84,83,85,61,40,0.1,1,15,4
110,0.1,0.31,0.5,34,28,46,46,86,83,82,87,19,0.1,1,15,4
111,0.1,0.31,0.5,34,51,40,43,87,83,85,87,18,0.1,1,15,4
112,0.1,0.31,0.5,44,41,34,44,87,83,85,69,32,0.1,1,15,4
113,0.1,0.31,0.5,35,35,49,45,87,83,85,87,18,0.1,1,15,4
114,0.1,0.31,0.5,41,53,45,44,87,83,85,87,18,0.1,1,15,4
115,0.1,0.31,0.5,43,42,35,34,87,81,82,85,20,0.1,1,15,4
116,0.1,0.31,0.5,35,35,48,42,87,83,85,87,18,0.1,1,15,4
117,0.1,0.31,0.5,40,51,49,51,87,83,72,80,29,0.1,1,15,4
118,0.1,0.31,0.5,43,42,37,35,87,83,85,87,18,0.1,1,15,4
119,0.1,0.31,0.5,56,37,45,45,-145,83,85,85,46,0.1,0,15,4
120,0.1,0.31,0.5,41,50,44,47,87,83,85,86,18,0.1,1,15,4
121,0.1,0.31,0.5,24,65,32,33,87,53,85,87,48,0.1,1,15,4
122,0.1,0.31,0.5,55,44,44,42,85,66,85,85,35,0.1,1,15,4
123,0.1,0.31,0.5,39,48,45,56,87,83,85,-129,30,0.1,0,15,4
124,0.1,0.31,0.5,30,45,36,42,86,72,85,87,29,0.1,1,15,4
125,0.1,0.31,0.5,51,39,48,27,87,83,84,87,18,0.1,1,15,4
126,0.1,0.31,0.5,36,64,41,46,87,36,83,87,65,0.1,1,15,4
127,0.1,0.31,0.5,33,41,37,50,83,83,80,-108,21,0.1,0,15,4
128,0.1,0.31,0.5,58,38,49,42,80,79,81,86,22,0.1,1,15,4
129,0.1,0.31,0.5,38,48,44,24,87,85,85,87,16,0.1,1,15,4
130,0.1,0.31,0.5,29,41,34,55,87,82,85,85,19,0.1,1,15,4
131,0.1,0.31,0.5,53,37,40,24,57,81,85,87,44,0.1,1,15,4
132,0.1,0.31,0.5,45,50,42,44,79,83,85,87,22,0.1,1,15,4
133,0.1,0.31,0.5,52,41,40,45,78,83,85,87,23,0.1,1,15,4
134,0.1,0.31,0.5,52,45,46,39,79,83,85,82,22,0.1,1,15,4
135,0.1,0.31,0.5,39,40,65,40,87,83,30,87,71,0.1,1,15,4
136,0.1,0.31,0.5,41,45,48,44,86,83,81,87,20,0.1,1,15,4
137,0.1,0.31,0.5,43,37,40,26,83,83,81,87,20,0.1,1,15,4
138,0.1,0.31,0.5,39,47,39,46,87,82,85,87,19,0.1,1,15,4
139,0.1,0.31,0.5,42,44,48,47,87,83,84,86,18,0.1,1,15,4
140,0.1,0.31,0.5,34,34,36,45,87,73,84,47,54,0.1,1,15,4
141,0.1,0.31,0.5,37,47,39,49,86,83,85,87,18,0.1,1,15,4
142,0.1,0.31,0.5,47,50,57,46,87,81,72,87,29,0.1,1,15,4
143,0.1,0.31,0.5,37,33,38,30,85,81,85,86,20,0.1,1,15,4
144,0.1,0.31,0.5,40,48,39,48,87,83,85,87,18,0.1,1,15,4
145,0.1,0.31,0.5,47,48,49,45,83,82,85,87,19,0.1,1,15,4
146,0.1,0.31,0.5,42,35,51,27,83,83,55,87,46,0.1,1,15,4
147,0.1,0.31,0.5,36,43,40,31,85,81,85,-101,20,0.1,0,15,4
148,0.1,0.31,0.5,43,48,45,49,87,80,83,86,21,0.1,1,15,4
