eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
97,0.1,0.31,0.5,40,52,34,30,50,43,61,73,58,0.1,1,25,4
98,0.1,0.31,0.5,37,51,34,27,61,36,-135,72,65,0.1,0,25,4
99,0.1,0.31,0.5,35,50,28,25,65,60,72,-115,41,0.1,0,25,4
100,0.1,0.31,0.5,34,33,28,25,67,69,-116,-127,34,0.1,0,25,4
101,0.1,0.31,0.5,35,29,27,25,67,73,72,-252,153,0.1,0,25,4
102,0.1,0.31,0.5,36,30,27,16,63,67,74,-114,38,0.1,0,25,4
103,0.1,0.31,0.5,35,29,32,111,64,73,67,-324,425,0.1,1,25,4
104,0.1,0.31,0.5,35,29,29,36,-140,71,70,62,41,0.1,0,25,4
105,0.1,0.31,0.5,36,30,67,30,66,70,-71,70,172,0.1,1,25,4
106,0.1,0.31,0.5,35,30,28,33,67,73,73,64,37,0.1,1,25,4
107,0.1,0.31,0.5,35,30,27,32,-129,71,74,68,33,0.1,0,25,4
108,0.1,0.31,0.5,38,32,27,41,59,74,74,48,53,0.1,1,25,4
109,0.1,0.31,0.5,34,29,27,33,66,71,73,69,35,0.1,1,25,4
110,0.1,0.31,0.5,34,40,27,33,-140,61,75,67,41,0.1,0,25,4
111,0.1,0.31,0.5,36,44,27,34,65,37,75,67,64,0.1,1,25,4
112,0.1,0.31,0.5,40,38,29,37,61,58,69,68,43,0.1,1,25,4
113,0.1,0.31,0.5,35,33,27,33,63,-263,75,69,164,0.1,0,25,4
114,0.1,0.31,0.5,39,87,27,39,53,-122,75,59,223,0.1,1,25,4
115,0.1,0.31,0.5,79,74,27,33,-34,-140,75,67,135,0.1,0,25,4
116,0.1,0.31,0.5,37,39,31,37,55,16,67,60,85,0.1,1,25,4
117,0.1,0.31,0.5,35,29,27,44,66,73,75,49,52,0.1,1,25,4
118,0.1,0.31,0.5,34,29,27,34,65,73,75,67,36,0.1,1,25,4
119,0.1,0.31,0.5,34,41,27,33,-203,32,-248,69,149,0.1,0,25,4
120,0.1,0.31,0.5,38,29,27,33,58,73,75,67,43,0.1,1,25,4
121,0.1,0.31,0.5,35,29,28,37,67,73,66,59,42,0.1,1,25,4
122,0.1,0.31,0.5,36,29,29,34,62,72,69,63,39,0.1,1,25,4
123,0.1,0.31,0.5,35,30,57,33,66,72,-9,65,110,0.1,1,25,4
124,0.1,0.31,0.5,36,33,27,34,64,62,71,64,39,0.1,1,25,4
125,0.1,0.31,0.5,35,30,27,36,67,70,75,66,35,0.1,1,25,4
126,0.1,0.31,0.5,38,29,28,49,67,73,73,47,54,0.1,1,25,4
127,0.1,0.31,0.5,35,44,27,33,63,29,75,68,72,0.1,1,25,4
128,0.1,0.31,0.5,35,32,27,32,65,63,74,67,38,0.1,1,25,4
129,0.1,0.31,0.5,36,38,27,31,65,51,73,71,50,0.1,1,25,4
130,0.1,0.31,0.5,35,38,34,31,64,-268,60,71,169,0.1,0,25,4
131,0.1,0.31,0.5,45,30,27,31,45,68,75,71,56,0.1,1,25,4
132,0.1,0.31,0.5,35,32,34,31,67,69,54,-121,47,0.1,0,25,4
133,0.1,0.31,0.5,39,29,34,31,57,73,-249,70,150,0.1,0,25,4
134,0.1,0.31,0.5,41,29,27,31,50,73,75,71,51,0.1,1,25,4
135,0.1,0.31,0.5,35,29,28,31,67,-143,70,71,44,0.1,0,25,4
136,0.1,0.31,0.5,35,29,27,31,65,72,75,-172,73,0.1,0,25,4
137,0.1,0.31,0.5,35,32,27,31,69,59,75,69,42,0.1,1,25,4
138,0.1,0.31,0.5,36,29,27,31,58,73,73,70,43,0.1,1,25,4
139,0.1,0.31,0.5,35,30,27,32,67,70,75,65,36,0.1,1,25,4
140,0.1,0.31,0.5,35,32,27,31,64,61,-121,69,40,0.1,0,25,4
141,0.1,0.31,0.5,36,29,27,31,65,73,75,67,36,0.1,1,25,4
142,0.1,0.31,0.5,35,29,27,31,65,72,75,71,36,0.1,1,25,4
143,0.1,0.31,0.5,34,29,27,31,58,73,75,71,43,0.1,1,25,4
144,0.1,0.31,0.5,37,29,28,31,60,73,71,71,41,0.1,1,25,4
145,0.1,0.31,0.5,34,29,31,31,67,73,67,71,34,0.1,1,25,4
146,0.1,0.31,0.5,40,31,29,31,51,69,69,70,50,0.1,1,25,4
147,0.1,0.31,0.5,72,29,33,36,-15,73,69,58,116,0.1,1,25,4
148,0.1,0.31,0.5,34,29,27,31,67,67,74,71,34,0.1,1,25,4
