eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
15,0.1,0.31,0.5,0,46,25,19,21,10,12,22,-141,35,72,83,82,92,90,82,66,0.1,0,15,8
16,0.1,0.31,0.5,0,21,21,21,18,12,12,24,-174,79,78,76,84,88,89,80,75,0.1,0,15,8
17,0.1,0.31,0.5,0,18,19,19,34,10,20,24,-124,84,83,83,45,92,69,-116,56,0.1,0,15,8
18,0.1,0.31,0.5,0,17,21,19,18,10,14,22,-215,82,84,83,84,92,83,80,116,0.1,0,15,8
19,0.1,0.31,0.5,0,17,21,19,18,10,53,25,-173,81,71,83,-118,92,-38,62,139,0.1,0,15,8
20,0.1,0.31,0.5,0,17,17,19,20,10,53,25,-134,-110,83,83,76,91,-147,83,48,0.1,0,15,8
21,0.1,0.31,0.5,0,10,17,19,23,10,12,31,-150,-124,85,-151,75,92,89,40,61,0.1,0,15,8
22,0.1,0.31,0.5,0,22,17,19,21,10,12,24,-270,54,86,81,-248,92,90,76,171,0.1,0,15,8
23,0.1,0.31,0.5,0,23,17,19,31,10,17,30,-117,72,85,81,48,91,80,62,53,0.1,0,15,8
24,0.1,0.31,0.5,0,16,17,20,21,10,14,23,-195,83,-146,79,80,92,86,84,96,0.1,0,15,8
25,0.1,0.31,0.5,0,20,19,19,21,16,14,23,-145,69,81,81,-115,77,-197,-141,98,0.1,0,15,8
26,0.1,0.31,0.5,0,18,17,19,19,11,20,20,-208,80,85,83,83,92,72,-137,109,0.1,0,15,8
27,0.1,0.31,0.5,51,15,18,21,19,10,17,17,-49,87,87,81,79,92,83,81,150,0.1,1,15,8
28,0.1,0.31,0.5,21,15,35,19,18,11,16,15,81,86,37,83,83,88,86,84,64,0.1,1,15,8
29,0.1,0.31,0.5,22,17,30,19,35,10,16,14,79,78,60,83,51,92,85,87,50,0.1,1,15,8
30,0.1,0.31,0.5,22,15,29,19,27,10,30,14,74,84,71,83,66,90,62,-119,39,0.1,0,15,8
31,0.1,0.31,0.5,21,15,23,19,18,11,30,14,81,84,78,80,82,85,-113,88,23,0.1,0,15,8
32,0.1,0.31,0.5,21,15,23,20,18,10,16,14,-173,87,-137,74,84,91,86,87,74,0.1,0,15,8
33,0.1,0.31,0.5,15,15,23,19,18,10,16,14,-118,83,72,83,84,92,86,87,29,0.1,0,15,8
34,0.1,0.31,0.5,27,15,20,19,18,10,16,14,50,87,77,83,84,88,83,88,51,0.1,1,15,8
35,0.1,0.31,0.5,19,15,21,20,18,10,16,14,83,-128,80,77,-139,92,86,88,40,0.1,0,15,8
36,0.1,0.31,0.5,19,15,21,22,18,13,16,14,81,87,80,64,83,90,84,88,37,0.1,1,15,8
37,0.1,0.31,0.5,19,38,21,19,18,11,16,25,-114,28,81,83,83,89,84,70,73,0.1,0,15,8
38,0.1,0.31,0.5,23,15,21,19,18,10,23,14,72,87,79,-121,-128,91,75,88,29,0.1,0,15,8
39,0.1,0.31,0.5,19,15,22,19,18,10,16,14,82,87,79,82,84,-169,88,88,70,0.1,0,15,8
40,0.1,0.31,0.5,21,15,26,19,18,16,17,15,77,87,65,83,83,82,82,86,36,0.1,1,15,8
41,0.1,0.31,0.5,27,16,21,19,19,10,16,14,49,85,81,-120,82,91,85,88,52,0.1,0,15,8
42,0.1,0.31,0.5,27,19,21,19,20,10,18,14,60,74,81,82,79,92,78,85,41,0.1,1,15,8
43,0.1,0.31,0.5,19,15,20,19,18,10,17,14,83,85,81,83,81,92,86,88,20,0.1,1,15,8
44,0.1,0.31,0.5,19,15,36,19,18,10,16,14,82,85,55,82,84,92,86,88,46,0.1,1,15,8
45,0.1,0.31,0.5,19,16,31,20,18,10,16,14,83,83,56,81,82,90,86,90,45,0.1,1,15,8
46,0.1,0.31,0.5,21,19,20,19,18,10,17,14,75,74,81,83,79,92,85,88,27,0.1,1,15,8
47,0.1,0.31,0.5,28,16,20,19,19,24,15,15,62,86,76,83,82,46,75,82,55,0.1,1,15,8
48,0.1,0.31,0.5,20,15,17,19,18,10,16,14,83,85,85,-120,84,92,85,88,21,0.1,0,15,8
49,0.1,0.31,0.5,24,16,16,19,18,10,16,15,84,82,87,83,-115,92,86,87,19,0.1,0,15,8
50,0.1,0.31,0.5,18,14,17,19,18,11,16,14,81,86,85,82,-110,90,86,88,20,0.1,0,15,8
51,0.1,0.31,0.5,17,17,17,19,6,10,16,14,85,79,85,83,-110,92,86,-291,192,0.1,0,15,8
52,0.1,0.31,0.5,17,17,17,22,6,10,16,14,84,-107,83,77,-128,92,84,87,29,0.1,0,15,8
53,0.1,0.31,0.5,17,16,17,19,34,10,18,14,-109,-177,85,83,30,90,76,88,78,0.1,0,15,8
54,0.1,0.31,0.5,17,17,19,20,24,10,17,14,82,84,81,80,70,89,89,82,31,0.1,1,15,8
55,0.1,0.31,0.5,17,15,17,21,24,10,16,14,82,-114,85,76,-112,92,82,88,25,0.1,0,15,8
56,0.1,0.31,0.5,17,17,17,19,22,36,16,14,82,77,85,82,78,15,-200,88,101,0.1,0,15,8
57,0.1,0.31,0.5,17,15,17,19,21,12,16,18,-113,87,82,83,80,91,86,80,21,0.1,0,15,8
58,0.1,0.31,0.5,17,15,18,19,21,10,18,18,85,84,83,83,-111,92,85,-109,18,0.1,0,15,8
59,0.1,0.31,0.5,17,15,17,17,26,16,19,14,83,86,85,82,62,79,79,88,39,0.1,1,15,8
60,0.1,0.31,0.5,17,15,17,21,23,10,16,14,84,87,85,72,75,92,86,90,29,0.1,1,15,8
61,0.1,0.31,0.5,17,15,22,19,22,10,16,14,85,86,71,82,80,92,86,88,30,0.1,1,15,8
62,0.1,0.31,0.5,17,15,20,22,22,10,17,14,85,87,74,77,80,92,85,88,27,0.1,1,15,8
63,0.1,0.31,0.5,17,16,17,33,23,10,16,14,-112,83,85,45,77,92,88,-116,56,0.1,0,15,8
64,0.1,0.31,0.5,17,15,17,19,21,10,16,14,-119,87,85,79,75,92,86,86,26,0.1,0,15,8
65,0.1,0.31,0.5,17,15,18,18,25,10,16,14,85,85,81,78,78,90,86,86,23,0.1,1,15,8
66,0.1,0.31,0.5,17,15,17,19,24,10,16,14,85,87,85,79,76,92,86,88,25,0.1,1,15,8
67,0.1,0.31,0.5,17,15,17,24,23,10,16,14,-112,85,84,72,76,92,86,88,29,0.1,0,15,8
68,0.1,0.31,0.5,18,15,17,19,22,10,16,14,77,87,85,77,78,92,86,88,24,0.1,1,15,8
69,0.1,0.31,0.5,18,15,17,19,22,10,16,14,76,87,84,82,78,91,86,88,25,0.1,1,15,8
70,0.1,0.31,0.5,17,15,17,22,22,10,16,14,85,87,85,70,80,92,-109,88,31,0.1,0,15,8
71,0.1,0.31,0.5,17,15,17,19,25,10,25,14,84,87,84,82,74,91,70,88,31,0.1,1,15,8
72,0.1,0.31,0.5,17,15,17,19,22,10,16,14,83,87,85,83,80,92,83,-105,21,0.1,0,15,8
73,0.1,0.31,0.5,17,15,16,19,21,10,16,14,81,87,80,-120,80,92,86,88,21,0.1,0,15,8
74,0.1,0.31,0.5,17,15,20,17,30,10,16,14,85,86,74,85,59,92,86,87,42,0.1,1,15,8
75,0.1,0.31,0.5,17,15,17,24,30,10,16,18,85,87,85,66,-235,92,86,79,136,0.1,0,15,8
76,0.1,0.31,0.5,17,15,17,19,21,10,16,14,85,87,84,81,80,-106,85,86,21,0.1,0,15,8
77,0.1,0.31,0.5,17,15,17,19,21,12,16,14,83,87,85,82,80,90,84,87,21,0.1,1,15,8
78,0.1,0.31,0.5,17,15,37,21,22,10,17,14,83,87,52,83,80,92,81,88,49,0.1,1,15,8
79,0.1,0.31,0.5,17,17,17,19,22,12,16,14,-132,83,85,85,80,89,86,88,33,0.1,0,15,8
80,0.1,0.31,0.5,17,15,17,19,28,10,20,14,85,87,85,83,55,92,90,88,46,0.1,1,15,8
81,0.1,0.31,0.5,17,15,17,19,21,10,11,14,85,85,83,83,80,92,90,-112,21,0.1,0,15,8
82,0.1,0.31,0.5,20,15,17,19,22,10,17,16,80,87,82,-113,78,92,78,82,23,0.1,0,15,8
