eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
37,0.1,0.31,0.5,16,10,9,10,6,6,14,5,-119,92,93,91,95,93,88,97,20,0.1,0,10,8
38,0.1,0.31,0.5,16,10,10,10,6,6,14,5,85,88,93,92,96,93,88,97,16,0.1,1,10,8
39,0.1,0.31,0.5,20,10,9,10,6,5,15,5,77,92,91,92,96,97,88,97,24,0.1,1,10,8
40,0.1,0.31,0.5,16,10,9,10,6,5,14,5,83,92,92,91,96,97,86,97,18,0.1,1,10,8
41,0.1,0.31,0.5,16,10,10,10,6,5,14,5,85,92,93,-110,96,97,88,97,16,0.1,0,10,8
42,0.1,0.31,0.5,16,11,9,11,6,5,14,5,84,87,92,91,96,97,87,97,17,0.1,1,10,8
43,0.1,0.31,0.5,16,10,9,10,6,5,14,5,85,90,93,92,96,97,88,97,16,0.1,1,10,8
44,0.1,0.31,0.5,17,10,9,10,6,5,15,5,73,92,93,91,96,97,86,97,28,0.1,1,10,8
45,0.1,0.31,0.5,17,10,9,10,6,5,15,5,85,92,93,92,96,97,-126,97,27,0.1,0,10,8
46,0.1,0.31,0.5,17,10,19,10,12,5,14,6,-112,92,75,92,82,97,88,95,26,0.1,0,10,8
47,0.1,0.31,0.5,18,14,9,10,6,5,14,5,84,83,93,92,96,97,88,97,18,0.1,1,10,8
48,0.1,0.31,0.5,17,10,9,10,14,5,15,5,85,92,93,92,64,97,84,97,37,0.1,1,10,8
49,0.1,0.31,0.5,15,14,9,10,14,5,15,5,-112,76,91,91,-112,95,-110,97,25,0.1,0,10,8
50,0.1,0.31,0.5,15,14,9,10,14,5,15,5,-140,-105,93,92,-101,97,-111,97,41,0.1,0,10,8
51,0.1,0.31,0.5,6,14,9,10,12,5,5,5,-112,-105,93,92,-101,97,-109,97,13,0.1,0,10,8
52,0.1,0.31,0.5,4,10,9,10,12,5,5,5,-112,92,93,91,-104,97,-105,94,13,0.1,0,10,8
53,0.1,0.31,0.5,4,10,9,10,12,5,20,5,-111,92,92,92,-104,96,59,97,42,0.1,0,10,8
54,0.1,0.31,0.5,17,10,9,10,9,5,10,5,60,90,93,92,-109,97,92,97,41,0.1,0,10,8
55,0.1,0.31,0.5,11,10,9,10,38,5,10,5,90,92,93,92,-46,97,91,97,147,0.1,1,10,8
56,0.1,0.31,0.5,11,10,9,10,10,5,10,5,91,92,93,92,90,97,-112,96,13,0.1,0,10,8
57,0.1,0.31,0.5,10,10,9,10,9,5,10,5,90,92,91,92,90,96,92,97,11,0.1,1,10,8
58,0.1,0.31,0.5,16,10,9,10,10,5,10,10,78,92,92,92,92,97,92,90,23,0.1,1,10,8
59,0.1,0.31,0.5,12,10,9,10,10,5,10,10,84,92,93,92,-105,97,92,-108,17,0.1,0,10,8
60,0.1,0.31,0.5,12,10,9,10,10,5,10,5,87,92,93,92,92,97,92,97,14,0.1,1,10,8
61,0.1,0.31,0.5,13,10,9,10,10,5,10,5,88,92,93,92,84,-102,92,97,17,0.1,0,10,8
62,0.1,0.31,0.5,13,14,12,10,23,5,10,5,89,81,87,92,31,-105,92,97,70,0.1,0,10,8
63,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,91,93,92,92,97,92,97,12,0.1,1,10,8
64,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,91,97,92,97,12,0.1,1,10,8
65,0.1,0.31,0.5,13,10,11,10,10,5,10,5,89,92,91,92,-138,97,92,97,39,0.1,0,10,8
66,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,92,97,92,97,12,0.1,1,10,8
67,0.1,0.31,0.5,13,10,9,11,10,5,15,5,87,90,92,90,91,97,64,97,37,0.1,1,10,8
68,0.1,0.31,0.5,13,19,9,10,10,10,13,5,89,78,93,90,92,84,88,97,23,0.1,1,10,8
69,0.1,0.31,0.5,12,10,9,10,10,5,10,5,88,92,93,92,92,97,92,97,13,0.1,1,10,8
70,0.1,0.31,0.5,12,10,12,10,10,5,10,5,-111,92,86,92,90,97,92,97,15,0.1,0,10,8
71,0.1,0.31,0.5,16,10,9,10,10,5,10,5,80,92,93,92,92,97,92,97,21,0.1,1,10,8
72,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,90,93,92,91,97,-108,97,12,0.1,0,10,8
73,0.1,0.31,0.5,11,10,10,10,10,5,19,5,-107,92,91,92,92,97,74,97,27,0.1,0,10,8
74,0.1,0.31,0.5,12,10,9,10,10,5,10,5,87,92,93,92,92,97,92,97,14,0.1,1,10,8
75,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,92,96,92,97,12,0.1,1,10,8
76,0.1,0.31,0.5,12,10,15,10,10,5,10,5,89,92,91,92,92,96,90,97,12,0.1,1,10,8
77,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,91,97,92,97,12,0.1,1,10,8
78,0.1,0.31,0.5,12,10,10,10,10,5,10,5,89,91,93,92,92,97,91,97,12,0.1,1,10,8
79,0.1,0.31,0.5,12,10,10,10,10,5,10,5,87,92,87,92,92,97,-105,95,14,0.1,0,10,8
80,0.1,0.31,0.5,12,10,9,10,10,5,10,5,-111,92,93,92,92,97,92,97,12,0.1,0,10,8
81,0.1,0.31,0.5,12,10,9,10,10,5,10,5,-108,92,93,89,92,97,90,96,12,0.1,0,10,8
82,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,92,97,92,97,12,0.1,1,10,8
83,0.1,0.31,0.5,13,22,9,10,10,10,10,5,89,88,93,92,92,88,90,97,13,0.1,1,10,8
84,0.1,0.31,0.5,13,10,9,12,10,5,10,5,89,92,93,88,92,97,-101,97,13,0.1,0,10,8
85,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,91,93,90,92,97,92,97,12,0.1,1,10,8
86,0.1,0.31,0.5,13,10,9,10,10,5,10,5,88,92,93,87,92,97,92,97,14,0.1,1,10,8
87,0.1,0.31,0.5,12,10,9,10,10,5,10,5,87,92,93,92,92,97,92,97,14,0.1,1,10,8
88,0.1,0.31,0.5,13,10,9,10,11,5,10,5,89,92,93,92,88,97,92,97,13,0.1,1,10,8
89,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,92,97,92,97,12,0.1,1,10,8
90,0.1,0.31,0.5,13,11,9,10,10,5,10,6,89,88,93,-106,91,97,92,94,13,0.1,0,10,8
91,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,90,93,92,92,97,92,97,12,0.1,1,10,8
92,0.1,0.31,0.5,12,10,9,10,10,5,11,5,89,92,93,92,92,97,89,96,12,0.1,1,10,8
93,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,92,92,91,97,92,97,12,0.1,1,10,8
94,0.1,0.31,0.5,12,10,9,10,10,5,10,5,85,92,93,91,92,97,92,97,16,0.1,1,10,8
95,0.1,0.31,0.5,12,10,9,10,10,5,10,5,89,92,93,92,92,97,92,97,12,0.1,1,10,8
96,0.1,0.31,0.5,12,10,9,11,10,5,10,5,-111,92,93,90,90,97,92,97,12,0.1,0,10,8
97,0.1,0.31,0.5,13,10,9,12,10,5,10,5,85,92,93,88,92,97,92,97,16,0.1,1,10,8
98,0.1,0.31,0.5,13,10,10,10,10,5,10,5,88,92,85,91,92,97,92,97,16,0.1,1,10,8
99,0.1,0.31,0.5,13,10,8,10,10,5,10,5,-107,-102,89,91,92,97,91,97,12,0.1,0,10,8
100,0.1,0.31,0.5,13,10,9,10,11,5,10,5,-107,-102,93,92,90,97,92,97,11,0.1,0,10,8
101,0.1,0.31,0.5,7,6,9,10,12,5,10,5,-107,-102,92,92,90,97,92,97,11,0.1,0,10,8
102,0.1,0.31,0.5,5,6,9,11,10,5,10,5,-121,-104,93,90,92,97,92,97,22,0.1,0,10,8
103,0.1,0.31,0.5,4,6,9,10,10,5,10,5,-121,-111,93,92,90,97,-104,97,22,0.1,0,10,8
104,0.1,0.31,0.5,4,6,17,10,10,5,11,5,-204,-111,77,89,92,97,90,97,105,0.1,0,10,8
105,0.1,0.31,0.5,4,6,9,10,10,5,10,5,-230,-111,93,92,92,97,91,97,131,0.1,0,10,8
106,0.1,0.31,0.5,4,10,9,10,10,5,10,5,-119,85,93,92,92,97,-107,97,20,0.1,0,10,8
107,0.1,0.31,0.5,4,10,9,10,10,5,10,5,-202,92,93,92,92,97,92,97,103,0.1,0,10,8
108,0.1,0.31,0.5,4,10,13,10,10,5,10,5,-109,-104,82,92,92,97,92,97,19,0.1,0,10,8
109,0.1,0.31,0.5,4,10,9,10,10,5,10,5,-151,92,93,92,92,97,92,97,52,0.1,0,10,8
110,0.1,0.31,0.5,37,10,9,10,10,5,10,5,-37,92,93,92,92,97,92,97,138,0.1,1,10,8
111,0.1,0.31,0.5,19,10,9,10,10,5,10,5,78,92,92,92,92,97,92,97,23,0.1,1,10,8
112,0.1,0.31,0.5,23,10,9,10,10,5,10,5,70,92,93,92,92,97,92,97,31,0.1,1,10,8
113,0.1,0.31,0.5,23,11,9,10,10,6,10,7,-126,90,93,91,92,94,92,90,27,0.1,0,10,8
