eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
101,0.1,0.31,0.5,32,15,15,24,27,86,87,76,74,0.1,1,15,4
102,0.1,0.31,0.5,26,15,15,23,75,87,86,79,26,0.1,1,15,4
103,0.1,0.31,0.5,26,15,17,23,-188,83,80,66,89,0.1,0,15,4
104,0.1,0.31,0.5,27,15,16,26,75,87,85,67,34,0.1,1,15,4
105,0.1,0.31,0.5,26,15,15,25,73,86,87,73,28,0.1,1,15,4
106,0.1,0.31,0.5,25,15,15,30,70,85,87,80,31,0.1,1,15,4
107,0.1,0.31,0.5,34,15,15,23,53,86,87,73,48,0.1,1,15,4
108,0.1,0.31,0.5,26,15,16,23,75,87,87,79,26,0.1,1,15,4
109,0.1,0.31,0.5,26,15,15,23,75,87,87,79,26,0.1,1,15,4
110,0.1,0.31,0.5,26,18,15,22,75,87,85,79,26,0.1,1,15,4
111,0.1,0.31,0.5,27,15,15,23,77,85,87,77,24,0.1,1,15,4
112,0.1,0.31,0.5,27,15,15,23,71,86,87,-120,30,0.1,0,15,4
113,0.1,0.31,0.5,27,35,20,24,72,60,81,77,41,0.1,1,15,4
114,0.1,0.31,0.5,26,15,15,24,75,86,87,77,26,0.1,1,15,4
115,0.1,0.31,0.5,29,15,15,23,78,86,86,79,23,0.1,1,15,4
116,0.1,0.31,0.5,22,16,15,22,79,84,-107,79,22,0.1,0,15,4
117,0.1,0.31,0.5,23,15,15,22,79,87,87,78,23,0.1,1,15,4
118,0.1,0.31,0.5,23,15,15,21,-111,85,87,79,22,0.1,0,15,4
119,0.1,0.31,0.5,23,21,15,23,-115,74,87,75,27,0.1,0,15,4
120,0.1,0.31,0.5,22,15,15,22,79,87,87,79,22,0.1,1,15,4
121,0.1,0.31,0.5,24,17,15,23,72,85,87,79,29,0.1,1,15,4
122,0.1,0.31,0.5,22,15,15,22,79,87,87,79,22,0.1,1,15,4
123,0.1,0.31,0.5,23,16,15,23,79,85,87,76,25,0.1,1,15,4
124,0.1,0.31,0.5,23,15,15,22,79,87,87,78,23,0.1,1,15,4
125,0.1,0.31,0.5,23,15,15,22,-121,87,87,79,22,0.1,0,15,4
126,0.1,0.31,0.5,23,15,15,24,74,87,87,76,27,0.1,1,15,4
127,0.1,0.31,0.5,23,16,20,24,76,85,76,77,25,0.1,1,15,4
