eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
45,0.1,0.31,0.5,35,38,27,36,38,34,36,43,79,90,93,91,90,95,95,85,22,0.1,1,10,8
46,0.1,0.31,0.5,48,40,39,37,48,33,32,35,78,91,93,90,-106,95,93,87,23,0.1,0,10,8
47,0.1,0.31,0.5,42,26,33,31,24,23,28,36,72,90,91,90,90,95,95,84,29,0.1,1,10,8
48,0.1,0.31,0.5,39,40,32,37,44,42,32,43,79,90,92,92,-110,93,93,88,22,0.1,0,10,8
49,0.1,0.31,0.5,43,43,48,34,47,32,33,29,66,-103,-106,91,-103,95,95,85,35,0.1,0,10,8
50,0.1,0.31,0.5,36,45,49,30,44,22,23,35,77,-103,-103,90,-105,95,95,88,24,0.1,0,10,8
51,0.1,0.31,0.5,37,40,45,35,46,32,29,31,78,-103,-102,84,-106,94,95,87,23,0.1,0,10,8
52,0.1,0.31,0.5,32,47,45,30,47,23,21,29,78,-115,-103,88,-116,95,95,88,23,0.1,0,10,8
53,0.1,0.31,0.5,31,47,29,26,48,17,19,27,77,-111,93,90,-111,95,95,88,24,0.1,0,10,8
54,0.1,0.31,0.5,41,49,36,39,45,31,28,31,71,-120,-104,47,-455,95,95,87,356,0.1,0,10,8
55,0.1,0.31,0.5,31,45,20,23,39,23,22,29,77,-424,93,90,90,94,94,86,325,0.1,0,10,8
56,0.1,0.31,0.5,40,52,26,32,23,20,22,32,76,-192,93,90,86,95,95,88,93,0.1,0,10,8
57,0.1,0.31,0.5,36,51,40,32,38,31,28,31,77,-136,93,92,93,95,95,88,37,0.1,0,10,8
58,0.1,0.31,0.5,41,40,25,27,34,24,26,33,88,79,93,90,92,95,95,87,22,0.1,1,10,8
59,0.1,0.31,0.5,39,27,35,37,49,24,25,40,79,90,91,92,-108,95,95,86,22,0.1,0,10,8
60,0.1,0.31,0.5,51,48,29,30,19,31,31,33,-126,89,93,90,94,95,95,85,27,0.1,0,10,8
61,0.1,0.31,0.5,37,33,38,42,34,33,38,41,76,90,93,92,94,95,94,84,25,0.1,1,10,8
62,0.1,0.31,0.5,49,27,37,29,45,24,30,35,-116,90,88,91,94,95,91,87,17,0.1,0,10,8
63,0.1,0.31,0.5,30,47,29,31,19,33,34,35,77,88,93,91,94,95,95,86,24,0.1,1,10,8
64,0.1,0.31,0.5,37,28,32,44,29,30,32,41,83,90,93,89,94,95,95,85,18,0.1,1,10,8
65,0.1,0.31,0.5,49,33,36,31,44,26,23,51,81,88,93,90,94,95,95,-108,20,0.1,0,10,8
66,0.1,0.31,0.5,37,45,31,31,25,31,40,36,80,90,92,92,94,95,91,88,21,0.1,1,10,8
67,0.1,0.31,0.5,34,27,39,43,29,34,36,25,79,90,85,89,94,95,95,88,22,0.1,1,10,8
68,0.1,0.31,0.5,47,36,42,32,41,24,24,46,80,90,92,92,94,95,95,88,21,0.1,1,10,8
69,0.1,0.31,0.5,36,40,28,49,24,30,33,35,78,89,93,-107,94,95,95,88,23,0.1,0,10,8
70,0.1,0.31,0.5,37,32,33,27,30,35,32,31,79,90,92,91,94,95,95,88,22,0.1,1,10,8
71,0.1,0.31,0.5,49,36,42,32,40,25,43,44,78,90,91,92,94,95,71,88,30,0.1,1,10,8
72,0.1,0.31,0.5,35,41,33,48,29,31,32,49,81,90,93,91,94,95,95,-112,20,0.1,0,10,8
73,0.1,0.31,0.5,37,30,32,27,32,34,33,37,80,90,92,90,94,95,95,88,21,0.1,1,10,8
74,0.1,0.31,0.5,48,37,36,36,46,25,29,26,81,90,93,87,-107,95,95,88,20,0.1,0,10,8
75,0.1,0.31,0.5,51,40,30,48,41,29,29,48,-110,90,93,88,93,95,95,84,17,0.1,0,10,8
76,0.1,0.31,0.5,37,30,36,27,14,32,35,37,81,89,93,92,94,95,-102,88,20,0.1,0,10,8
77,0.1,0.31,0.5,36,41,38,31,43,30,26,29,81,86,93,91,94,95,95,78,23,0.1,1,10,8
78,0.1,0.31,0.5,46,39,29,47,40,27,37,47,79,90,92,90,94,95,87,88,22,0.1,1,10,8
79,0.1,0.31,0.5,38,31,38,29,18,33,44,37,77,87,93,92,94,95,95,82,24,0.1,1,10,8
80,0.1,0.31,0.5,35,38,35,31,41,30,25,27,77,90,91,88,94,95,95,88,24,0.1,1,10,8
81,0.1,0.31,0.5,53,37,32,44,37,26,24,49,83,90,93,92,94,95,95,94,18,0.1,1,10,8
82,0.1,0.31,0.5,36,32,36,28,22,32,39,36,76,90,93,92,94,95,95,88,25,0.1,1,10,8
83,0.1,0.31,0.5,36,38,34,32,42,31,23,30,81,90,93,92,94,95,95,86,20,0.1,1,10,8
84,0.1,0.31,0.5,48,36,29,45,28,24,29,45,80,90,93,91,94,95,95,88,21,0.1,1,10,8
85,0.1,0.31,0.5,36,36,41,30,27,46,38,36,81,87,91,90,94,-115,95,87,20,0.1,0,10,8
86,0.1,0.31,0.5,37,38,35,31,41,44,22,29,79,90,93,90,93,95,95,88,22,0.1,1,10,8
87,0.1,0.31,0.5,44,43,28,43,28,12,24,42,79,-103,93,89,94,95,95,88,22,0.1,0,10,8
88,0.1,0.31,0.5,50,37,41,34,28,39,41,35,-105,89,89,92,94,95,95,88,13,0.1,0,10,8
89,0.1,0.31,0.5,33,29,32,29,37,42,23,33,81,90,93,92,94,91,95,87,20,0.1,1,10,8
90,0.1,0.31,0.5,38,42,31,39,31,23,26,39,82,90,93,92,93,95,95,87,19,0.1,1,10,8
91,0.1,0.31,0.5,44,32,36,34,30,37,42,38,79,88,93,92,94,95,94,81,22,0.1,1,10,8
92,0.1,0.31,0.5,43,35,37,34,42,36,28,37,80,89,93,92,94,95,95,86,21,0.1,1,10,8
93,0.1,0.31,0.5,38,42,31,39,30,19,26,41,81,90,93,91,94,95,95,88,20,0.1,1,10,8
94,0.1,0.31,0.5,43,33,37,34,30,38,37,35,81,87,92,92,94,95,95,88,20,0.1,1,10,8
95,0.1,0.31,0.5,40,36,49,33,42,31,29,34,81,85,-107,92,92,95,95,88,20,0.1,0,10,8
96,0.1,0.31,0.5,37,41,36,37,32,22,24,41,81,88,93,92,94,95,95,85,20,0.1,1,10,8
97,0.1,0.31,0.5,43,32,21,33,28,38,38,39,80,90,93,92,94,95,95,87,21,0.1,1,10,8
98,0.1,0.31,0.5,39,33,41,43,38,33,28,33,80,90,93,56,94,94,95,83,45,0.1,1,10,8
99,0.1,0.31,0.5,39,48,42,36,43,23,28,43,81,-106,-101,92,-102,95,94,86,20,0.1,0,10,8
100,0.1,0.31,0.5,47,46,42,33,43,37,39,48,69,-106,-101,92,-102,95,95,-112,32,0.1,0,10,8
101,0.1,0.31,0.5,48,45,39,32,39,26,23,39,-103,-116,-101,92,-102,95,95,86,17,0.1,0,10,8
102,0.1,0.31,0.5,36,46,47,21,40,16,20,21,81,-113,-110,92,-103,95,95,85,20,0.1,0,10,8
