eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
65,0.1,0.31,0.5,19,27,31,40,34,24,86,92,89,90,92,94,15,0.1,1,10,6
66,0.1,0.31,0.5,41,32,33,41,25,31,86,90,88,92,92,95,15,0.1,1,10,6
67,0.1,0.31,0.5,36,30,30,11,34,21,87,92,87,90,88,95,14,0.1,1,10,6
68,0.1,0.31,0.5,19,25,32,42,35,23,87,92,89,89,92,95,14,0.1,1,10,6
69,0.1,0.31,0.5,42,34,33,41,25,32,76,92,89,91,92,95,25,0.1,1,10,6
70,0.1,0.31,0.5,36,30,29,11,31,18,87,92,88,90,86,95,15,0.1,1,10,6
71,0.1,0.31,0.5,20,25,33,38,36,32,85,92,89,92,91,77,24,0.1,1,10,6
72,0.1,0.31,0.5,40,34,32,41,25,31,85,92,89,92,92,95,16,0.1,1,10,6
73,0.1,0.31,0.5,36,33,30,13,30,24,87,92,87,92,92,95,14,0.1,1,10,6
74,0.1,0.31,0.5,19,25,32,35,35,26,87,92,89,92,91,95,14,0.1,1,10,6
75,0.1,0.31,0.5,40,34,31,41,26,27,87,92,85,92,92,95,16,0.1,1,10,6
76,0.1,0.31,0.5,41,31,29,16,38,19,-127,92,89,91,70,95,31,0.1,0,10,6
77,0.1,0.31,0.5,38,25,30,35,31,28,87,92,89,91,90,93,14,0.1,1,10,6
78,0.1,0.31,0.5,17,34,34,39,25,30,87,92,89,92,92,95,14,0.1,1,10,6
79,0.1,0.31,0.5,43,30,28,17,34,19,80,88,89,92,89,95,21,0.1,1,10,6
80,0.1,0.31,0.5,37,28,32,35,31,27,85,91,89,92,92,95,16,0.1,1,10,6
81,0.1,0.31,0.5,19,36,30,31,20,24,81,87,83,92,92,95,20,0.1,1,10,6
82,0.1,0.31,0.5,38,35,32,20,34,24,83,89,89,92,92,95,18,0.1,1,10,6
83,0.1,0.31,0.5,38,20,25,28,26,31,72,88,89,92,92,-107,29,0.1,0,10,6
84,0.1,0.31,0.5,21,33,30,32,24,26,89,89,89,92,91,95,12,0.1,1,10,6
85,0.1,0.31,0.5,33,34,29,22,34,19,89,92,89,92,92,95,12,0.1,1,10,6
86,0.1,0.31,0.5,28,19,28,30,23,29,89,92,89,92,90,95,12,0.1,1,10,6
87,0.1,0.31,0.5,27,32,29,26,30,23,89,91,85,92,92,95,16,0.1,1,10,6
88,0.1,0.31,0.5,33,37,34,31,34,24,89,92,89,91,92,95,12,0.1,1,10,6
89,0.1,0.31,0.5,30,20,28,31,22,29,89,90,87,92,92,95,14,0.1,1,10,6
90,0.1,0.31,0.5,25,32,27,25,32,21,89,91,89,92,92,95,12,0.1,1,10,6
91,0.1,0.31,0.5,35,37,35,31,33,23,88,91,88,92,90,95,13,0.1,1,10,6
92,0.1,0.31,0.5,30,19,28,30,24,29,88,90,89,92,92,95,13,0.1,1,10,6
93,0.1,0.31,0.5,25,27,27,26,28,24,89,92,89,89,92,93,12,0.1,1,10,6
94,0.1,0.31,0.5,35,37,33,30,35,25,89,92,89,92,92,94,12,0.1,1,10,6
95,0.1,0.31,0.5,30,24,29,30,24,34,89,92,89,92,92,93,12,0.1,1,10,6
96,0.1,0.31,0.5,24,28,26,24,27,29,89,82,89,92,88,82,19,0.1,1,10,6
97,0.1,0.31,0.5,35,36,34,29,35,26,89,92,88,92,91,93,13,0.1,1,10,6
98,0.1,0.31,0.5,31,23,30,31,25,33,88,92,89,92,91,95,13,0.1,1,10,6
99,0.1,0.31,0.5,39,36,25,37,36,21,-111,-105,85,-104,-106,95,16,0.1,0,10,6
100,0.1,0.31,0.5,39,38,29,37,37,23,-108,-105,89,-103,-105,95,12,0.1,0,10,6
101,0.1,0.31,0.5,29,32,36,34,30,29,-108,-107,-116,-105,-105,95,17,0.1,0,10,6
102,0.1,0.31,0.5,31,32,27,34,29,8,-197,-108,78,-112,78,95,98,0.1,0,10,6
103,0.1,0.31,0.5,35,30,19,37,33,17,-145,87,89,-122,-107,95,46,0.1,0,10,6
104,0.1,0.31,0.5,32,11,21,39,18,18,51,92,89,-111,89,95,50,0.1,0,10,6
105,0.1,0.31,0.5,24,33,31,50,32,20,89,92,89,-135,90,95,36,0.1,0,10,6
106,0.1,0.31,0.5,31,16,21,50,19,17,89,92,80,-191,90,95,92,0.1,0,10,6
107,0.1,0.31,0.5,31,31,36,50,35,29,89,90,89,-171,90,95,72,0.1,0,10,6
108,0.1,0.31,0.5,22,21,20,50,22,14,89,91,89,-152,90,95,53,0.1,0,10,6
109,0.1,0.31,0.5,31,42,26,50,25,19,87,61,89,-173,90,95,74,0.1,0,10,6
110,0.1,0.31,0.5,30,24,37,50,35,29,89,92,88,-134,90,95,35,0.1,0,10,6
111,0.1,0.31,0.5,24,29,25,50,24,15,89,90,86,-146,90,95,47,0.1,0,10,6
112,0.1,0.31,0.5,35,28,27,50,28,22,89,92,89,-120,90,95,21,0.1,0,10,6
113,0.1,0.31,0.5,30,24,33,50,32,28,89,90,87,-121,83,95,22,0.1,0,10,6
114,0.1,0.31,0.5,23,20,23,50,18,11,89,92,88,-232,90,95,133,0.1,0,10,6
115,0.1,0.31,0.5,37,28,27,50,29,22,83,92,89,-112,86,95,18,0.1,0,10,6
116,0.1,0.31,0.5,29,24,37,50,36,28,89,92,89,-261,90,95,162,0.1,0,10,6
117,0.1,0.31,0.5,24,20,19,50,14,14,89,92,90,-122,90,93,23,0.1,0,10,6
118,0.1,0.31,0.5,36,34,34,50,36,29,89,92,89,-248,90,95,149,0.1,0,10,6
119,0.1,0.31,0.5,25,23,37,50,38,27,89,92,89,-511,-112,95,412,0.1,0,10,6
120,0.1,0.31,0.5,27,23,18,50,30,14,89,91,87,-173,90,93,74,0.1,0,10,6
121,0.1,0.31,0.5,36,34,36,35,21,32,89,92,89,38,90,95,63,0.1,1,10,6
122,0.1,0.31,0.5,37,31,47,36,46,33,89,92,89,90,90,95,12,0.1,1,10,6
123,0.1,0.31,0.5,25,29,16,42,32,10,89,84,93,90,88,95,17,0.1,1,10,6
124,0.1,0.31,0.5,44,37,43,28,25,34,89,92,86,90,92,95,15,0.1,1,10,6
125,0.1,0.31,0.5,21,15,24,32,38,15,89,92,80,90,80,95,21,0.1,1,10,6
126,0.1,0.31,0.5,39,36,45,46,41,24,89,92,83,84,88,95,18,0.1,1,10,6
127,0.1,0.31,0.5,41,35,43,27,33,33,87,92,86,90,88,95,15,0.1,1,10,6
128,0.1,0.31,0.5,29,24,21,37,37,18,86,92,87,89,87,95,15,0.1,1,10,6
129,0.1,0.31,0.5,36,22,38,40,38,18,86,92,-111,82,88,95,19,0.1,0,10,6
130,0.1,0.31,0.5,41,37,47,29,34,33,89,92,87,90,86,95,15,0.1,1,10,6
