eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
115,0.1,0.31,0.5,29,25,19,19,-334,92,93,92,235,0.1,0,10,4
116,0.1,0.31,0.5,29,17,20,22,-478,92,93,92,379,0.1,0,10,4
117,0.1,0.31,0.5,29,18,18,19,-212,91,93,92,113,0.1,0,10,4
118,0.1,0.31,0.5,29,25,20,19,-288,92,92,92,189,0.1,0,10,4
119,0.1,0.31,0.5,29,17,21,22,-129,92,93,92,30,0.1,0,10,4
120,0.1,0.31,0.5,29,18,18,19,-157,92,93,92,58,0.1,0,10,4
121,0.1,0.31,0.5,37,23,16,25,40,92,93,-117,61,0.1,0,10,4
122,0.1,0.31,0.5,20,26,28,28,87,92,93,92,14,0.1,1,10,4
123,0.1,0.31,0.5,37,34,20,15,79,-107,93,92,22,0.1,0,10,4
124,0.1,0.31,0.5,30,24,18,25,83,77,93,92,24,0.1,1,10,4
125,0.1,0.31,0.5,19,21,23,22,86,92,93,92,15,0.1,1,10,4
126,0.1,0.31,0.5,34,33,29,26,85,-108,93,92,16,0.1,0,10,4
127,0.1,0.31,0.5,29,33,19,27,87,92,93,90,14,0.1,1,10,4
128,0.1,0.31,0.5,18,12,21,22,86,92,93,92,15,0.1,1,10,4
129,0.1,0.31,0.5,32,32,32,26,87,90,93,92,14,0.1,1,10,4
130,0.1,0.31,0.5,30,32,20,29,87,91,93,89,14,0.1,1,10,4
131,0.1,0.31,0.5,17,11,20,21,84,90,93,92,17,0.1,1,10,4
132,0.1,0.31,0.5,35,34,29,27,85,90,93,92,16,0.1,1,10,4
133,0.1,0.31,0.5,31,33,24,29,87,92,92,92,14,0.1,1,10,4
134,0.1,0.31,0.5,17,11,24,22,87,92,93,92,14,0.1,1,10,4
135,0.1,0.31,0.5,34,34,29,27,87,92,93,92,14,0.1,1,10,4
136,0.1,0.31,0.5,31,33,23,27,86,92,89,92,15,0.1,1,10,4
137,0.1,0.31,0.5,18,11,23,21,85,92,93,92,16,0.1,1,10,4
138,0.1,0.31,0.5,34,34,29,29,87,92,93,91,14,0.1,1,10,4
139,0.1,0.31,0.5,34,33,26,25,-108,92,85,92,16,0.1,0,10,4
140,0.1,0.31,0.5,31,11,23,21,87,92,93,92,14,0.1,1,10,4
141,0.1,0.31,0.5,17,33,28,32,87,91,93,91,14,0.1,1,10,4
142,0.1,0.31,0.5,34,32,22,24,86,92,93,92,15,0.1,1,10,4
143,0.1,0.31,0.5,31,13,23,21,87,91,93,92,14,0.1,1,10,4
144,0.1,0.31,0.5,18,34,28,31,87,86,93,92,15,0.1,1,10,4
145,0.1,0.31,0.5,31,32,23,25,85,92,93,92,16,0.1,1,10,4
146,0.1,0.31,0.5,31,13,23,22,87,92,93,91,14,0.1,1,10,4
147,0.1,0.31,0.5,18,32,30,33,87,92,92,86,15,0.1,1,10,4
148,0.1,0.31,0.5,34,30,24,24,87,92,92,91,14,0.1,1,10,4
