eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
51,0.1,0.31,0.5,11,10,11,12,91,92,-122,90,23,0.1,0,10,4
52,0.1,0.31,0.5,11,10,11,11,91,92,91,90,11,0.1,1,10,4
53,0.1,0.31,0.5,11,10,11,12,88,92,89,88,13,0.1,1,10,4
54,0.1,0.31,0.5,11,10,10,11,91,92,91,90,11,0.1,1,10,4
55,0.1,0.31,0.5,22,10,12,13,76,92,91,89,25,0.1,1,10,4
56,0.1,0.31,0.5,11,10,11,12,91,92,91,87,14,0.1,1,10,4
57,0.1,0.31,0.5,11,10,12,11,91,92,91,90,11,0.1,1,10,4
58,0.1,0.31,0.5,11,11,11,12,91,87,91,90,14,0.1,1,10,4
59,0.1,0.31,0.5,11,10,11,11,91,92,90,85,16,0.1,1,10,4
60,0.1,0.31,0.5,11,10,12,11,90,92,89,89,12,0.1,1,10,4
61,0.1,0.31,0.5,11,10,11,11,91,92,91,90,11,0.1,1,10,4
62,0.1,0.31,0.5,10,10,11,13,89,92,91,90,12,0.1,1,10,4
63,0.1,0.31,0.5,11,10,11,12,89,91,91,90,12,0.1,1,10,4
64,0.1,0.31,0.5,10,12,11,11,89,89,91,89,12,0.1,1,10,4
65,0.1,0.31,0.5,11,10,10,11,91,92,90,90,11,0.1,1,10,4
66,0.1,0.31,0.5,11,10,11,12,91,92,91,90,11,0.1,1,10,4
67,0.1,0.31,0.5,11,10,11,12,90,92,91,88,13,0.1,1,10,4
68,0.1,0.31,0.5,11,10,10,11,91,92,91,90,11,0.1,1,10,4
69,0.1,0.31,0.5,11,10,10,12,91,92,89,90,12,0.1,1,10,4
70,0.1,0.31,0.5,11,12,11,12,-112,85,89,88,16,0.1,0,10,4
71,0.1,0.31,0.5,13,10,11,12,86,92,91,92,15,0.1,1,10,4
72,0.1,0.31,0.5,11,10,11,12,91,92,91,90,11,0.1,1,10,4
73,0.1,0.31,0.5,11,10,11,11,91,91,91,90,11,0.1,1,10,4
74,0.1,0.31,0.5,12,10,11,12,87,92,91,90,14,0.1,1,10,4
75,0.1,0.31,0.5,11,10,11,11,91,91,91,90,11,0.1,1,10,4
76,0.1,0.31,0.5,11,13,11,12,91,82,92,89,19,0.1,1,10,4
