eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
119,0.1,0.31,0.5,15,12,9,5,14,15,87,90,92,-155,87,75,56,0.1,0,10,6
120,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-140,88,95,41,0.1,0,10,6
121,0.1,0.31,0.5,17,12,9,5,14,7,82,88,93,-139,88,95,40,0.1,0,10,6
122,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-111,88,95,14,0.1,0,10,6
123,0.1,0.31,0.5,15,12,9,5,23,7,85,84,93,-228,66,95,129,0.1,0,10,6
124,0.1,0.31,0.5,17,12,9,5,14,7,81,90,93,-155,88,95,56,0.1,0,10,6
125,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-199,88,95,100,0.1,0,10,6
126,0.1,0.31,0.5,15,12,9,5,14,7,87,89,93,-234,87,95,135,0.1,0,10,6
127,0.1,0.31,0.5,16,12,9,5,14,7,81,90,93,-114,88,95,20,0.1,0,10,6
128,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-187,88,95,88,0.1,0,10,6
129,0.1,0.31,0.5,15,20,9,5,14,7,85,74,93,-200,88,95,101,0.1,0,10,6
130,0.1,0.31,0.5,15,12,9,5,20,10,85,90,93,-146,61,93,47,0.1,0,10,6
131,0.1,0.31,0.5,15,12,9,5,14,7,87,89,93,-288,88,95,189,0.1,0,10,6
132,0.1,0.31,0.5,15,12,9,17,27,7,87,88,93,-22,65,95,123,0.1,1,10,6
133,0.1,0.31,0.5,15,12,9,10,14,7,87,90,93,92,88,95,14,0.1,1,10,6
134,0.1,0.31,0.5,14,12,9,10,14,7,87,90,93,91,88,95,14,0.1,1,10,6
135,0.1,0.31,0.5,15,13,9,10,15,7,87,90,93,92,86,95,15,0.1,1,10,6
136,0.1,0.31,0.5,14,12,9,10,14,7,87,90,93,92,88,95,14,0.1,1,10,6
137,0.1,0.31,0.5,14,12,9,10,14,7,87,89,92,92,88,95,14,0.1,1,10,6
138,0.1,0.31,0.5,14,12,9,10,14,7,87,90,93,92,88,95,14,0.1,1,10,6
139,0.1,0.31,0.5,14,12,9,10,14,7,-115,90,93,92,87,95,16,0.1,0,10,6
140,0.1,0.31,0.5,16,12,9,10,14,7,81,92,93,92,87,95,20,0.1,1,10,6
141,0.1,0.31,0.5,14,12,9,10,14,7,87,90,93,-107,87,95,14,0.1,0,10,6
142,0.1,0.31,0.5,14,12,9,10,14,7,87,90,93,92,-109,95,14,0.1,0,10,6
143,0.1,0.31,0.5,15,12,9,10,16,7,86,90,93,92,85,93,16,0.1,1,10,6
144,0.1,0.31,0.5,20,12,9,11,15,7,64,90,93,90,82,95,37,0.1,1,10,6
145,0.1,0.31,0.5,17,13,9,10,14,7,84,90,93,92,88,95,17,0.1,1,10,6
146,0.1,0.31,0.5,15,12,9,10,13,7,87,90,-109,92,86,95,15,0.1,0,10,6
147,0.1,0.31,0.5,15,12,9,10,14,7,86,-115,93,92,88,95,16,0.1,0,10,6
148,0.1,0.31,0.5,14,14,9,10,14,7,87,88,93,92,88,95,14,0.1,1,10,6
