eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
44,0.1,0.31,0.5,36,32,34,38,35,28,75,88,93,86,-106,95,26,0.1,0,10,6
45,0.1,0.31,0.5,25,21,18,29,32,18,81,92,93,80,92,95,21,0.1,1,10,6
46,0.1,0.31,0.5,38,28,29,33,23,23,82,92,92,85,90,95,19,0.1,1,10,6
47,0.1,0.31,0.5,36,30,29,41,32,26,85,92,93,76,91,95,25,0.1,1,10,6
48,0.1,0.31,0.5,25,22,22,29,32,18,84,92,93,84,-105,95,17,0.1,0,10,6
49,0.1,0.31,0.5,35,29,27,31,31,23,-104,92,93,84,86,95,17,0.1,0,10,6
50,0.1,0.31,0.5,35,27,33,39,22,26,-104,92,87,85,92,93,16,0.1,0,10,6
51,0.1,0.31,0.5,32,21,20,26,35,19,-107,92,93,87,90,94,14,0.1,0,10,6
52,0.1,0.31,0.5,33,32,24,28,22,22,-109,-107,93,87,91,95,14,0.1,0,10,6
53,0.1,0.31,0.5,45,23,38,29,22,26,63,92,72,88,90,-104,38,0.1,0,10,6
54,0.1,0.31,0.5,49,27,32,29,37,24,-108,92,93,85,92,95,16,0.1,0,10,6
55,0.1,0.31,0.5,29,30,25,34,22,17,80,92,93,87,92,95,21,0.1,1,10,6
56,0.1,0.31,0.5,41,31,31,40,31,47,81,92,93,88,92,82,20,0.1,1,10,6
57,0.1,0.31,0.5,40,28,17,22,24,26,79,88,93,88,92,94,22,0.1,1,10,6
58,0.1,0.31,0.5,47,36,35,36,30,20,-108,92,93,88,92,95,13,0.1,0,10,6
59,0.1,0.31,0.5,31,26,25,39,26,26,81,92,93,87,92,95,20,0.1,1,10,6
60,0.1,0.31,0.5,36,36,19,24,26,25,76,-105,93,82,92,93,25,0.1,0,10,6
61,0.1,0.31,0.5,42,20,30,36,28,21,80,92,93,88,92,93,21,0.1,1,10,6
62,0.1,0.31,0.5,35,33,34,44,34,34,81,92,93,86,92,93,20,0.1,1,10,6
63,0.1,0.31,0.5,38,30,18,22,22,20,79,92,91,87,92,95,22,0.1,1,10,6
64,0.1,0.31,0.5,41,31,46,41,27,16,78,88,86,86,92,95,23,0.1,1,10,6
65,0.1,0.31,0.5,37,34,40,44,34,36,72,92,92,88,92,93,29,0.1,1,10,6
66,0.1,0.31,0.5,38,29,19,21,27,29,79,92,91,88,92,93,22,0.1,1,10,6
67,0.1,0.31,0.5,32,27,32,36,25,18,81,91,93,-103,92,95,20,0.1,0,10,6
