eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
46,0.1,0.31,0.5,22,22,25,91,87,91,14,0.1,1,10,3
47,0.1,0.31,0.5,24,16,18,89,92,90,12,0.1,1,10,3
48,0.1,0.31,0.5,18,25,22,91,90,91,11,0.1,1,10,3
49,0.1,0.31,0.5,17,25,23,90,-103,-102,11,0.1,0,10,3
50,0.1,0.31,0.5,17,25,23,91,-103,-102,10,0.1,0,10,3
51,0.1,0.31,0.5,14,20,19,91,-103,-102,10,0.1,0,10,3
52,0.1,0.31,0.5,11,21,19,91,-134,-102,35,0.1,0,10,3
53,0.1,0.31,0.5,11,21,25,91,-109,73,28,0.1,0,10,3
54,0.1,0.31,0.5,20,24,14,91,-111,89,12,0.1,0,10,3
55,0.1,0.31,0.5,16,24,18,91,-124,91,25,0.1,0,10,3
56,0.1,0.31,0.5,16,24,20,91,76,91,25,0.1,1,10,3
57,0.1,0.31,0.5,21,18,28,91,88,-107,13,0.1,0,10,3
58,0.1,0.31,0.5,19,28,13,91,88,91,13,0.1,1,10,3
59,0.1,0.31,0.5,24,22,26,88,88,89,13,0.1,1,10,3
60,0.1,0.31,0.5,20,19,24,91,88,91,13,0.1,1,10,3
61,0.1,0.31,0.5,20,26,17,89,83,89,18,0.1,1,10,3
62,0.1,0.31,0.5,27,26,26,91,88,91,13,0.1,1,10,3
63,0.1,0.31,0.5,21,18,23,89,88,91,13,0.1,1,10,3
64,0.1,0.31,0.5,15,21,28,91,88,-134,35,0.1,0,10,3
65,0.1,0.31,0.5,26,25,17,91,85,91,16,0.1,1,10,3
66,0.1,0.31,0.5,26,23,22,88,88,91,13,0.1,1,10,3
67,0.1,0.31,0.5,16,21,28,91,88,88,13,0.1,1,10,3
68,0.1,0.31,0.5,26,26,17,87,88,90,14,0.1,1,10,3
69,0.1,0.31,0.5,25,22,21,91,87,91,14,0.1,1,10,3
70,0.1,0.31,0.5,15,21,29,91,88,91,13,0.1,1,10,3
71,0.1,0.31,0.5,27,28,18,91,-111,91,12,0.1,0,10,3
72,0.1,0.31,0.5,22,24,23,90,88,86,15,0.1,1,10,3
73,0.1,0.31,0.5,17,18,28,91,88,90,13,0.1,1,10,3
74,0.1,0.31,0.5,28,25,19,88,83,91,18,0.1,1,10,3
75,0.1,0.31,0.5,27,22,24,73,90,-104,28,0.1,0,10,3
76,0.1,0.31,0.5,18,19,20,91,88,91,13,0.1,1,10,3
77,0.1,0.31,0.5,27,28,17,-116,86,91,17,0.1,0,10,3
78,0.1,0.31,0.5,25,22,23,90,87,91,14,0.1,1,10,3
79,0.1,0.31,0.5,14,19,24,91,88,90,13,0.1,1,10,3
80,0.1,0.31,0.5,23,26,22,90,87,83,18,0.1,1,10,3
81,0.1,0.31,0.5,26,23,24,91,88,91,13,0.1,1,10,3
82,0.1,0.31,0.5,18,21,24,90,86,91,15,0.1,1,10,3
83,0.1,0.31,0.5,23,27,19,89,84,91,17,0.1,1,10,3
84,0.1,0.31,0.5,26,23,24,91,88,91,13,0.1,1,10,3
85,0.1,0.31,0.5,18,18,23,91,87,93,14,0.1,1,10,3
86,0.1,0.31,0.5,28,23,18,-170,88,91,71,0.1,0,10,3
87,0.1,0.31,0.5,23,22,24,91,88,89,13,0.1,1,10,3
88,0.1,0.31,0.5,16,24,24,89,88,91,13,0.1,1,10,3
89,0.1,0.31,0.5,28,23,20,91,88,88,13,0.1,1,10,3
90,0.1,0.31,0.5,23,22,24,91,88,89,13,0.1,1,10,3
91,0.1,0.31,0.5,16,24,24,89,86,90,15,0.1,1,10,3
92,0.1,0.31,0.5,30,24,19,45,86,91,56,0.1,1,10,3
93,0.1,0.31,0.5,17,23,26,91,88,87,14,0.1,1,10,3
94,0.1,0.31,0.5,22,24,24,91,88,91,13,0.1,1,10,3
95,0.1,0.31,0.5,26,20,19,91,88,91,13,0.1,1,10,3
96,0.1,0.31,0.5,17,22,26,91,81,93,20,0.1,1,10,3
97,0.1,0.31,0.5,22,23,23,89,86,91,15,0.1,1,10,3
98,0.1,0.31,0.5,24,19,20,90,88,91,13,0.1,1,10,3
99,0.1,0.31,0.5,16,22,23,91,-102,-101,10,0.1,0,10,3
100,0.1,0.31,0.5,14,22,23,90,-102,-101,11,0.1,0,10,3
101,0.1,0.31,0.5,17,18,20,91,-102,-101,10,0.1,0,10,3
102,0.1,0.31,0.5,12,20,22,91,88,-110,13,0.1,0,10,3
103,0.1,0.31,0.5,19,17,23,91,92,-107,10,0.1,0,10,3
104,0.1,0.31,0.5,14,17,23,91,92,-105,10,0.1,0,10,3
105,0.1,0.31,0.5,14,14,23,91,92,-103,10,0.1,0,10,3
106,0.1,0.31,0.5,14,12,23,91,92,-111,12,0.1,0,10,3
107,0.1,0.31,0.5,14,14,20,90,92,87,14,0.1,1,10,3
108,0.1,0.31,0.5,22,21,15,-108,92,91,10,0.1,0,10,3
109,0.1,0.31,0.5,16,14,23,91,92,93,10,0.1,1,10,3
110,0.1,0.31,0.5,17,20,16,91,92,92,10,0.1,1,10,3
111,0.1,0.31,0.5,19,20,13,89,-102,93,12,0.1,0,10,3
112,0.1,0.31,0.5,17,22,21,91,90,93,11,0.1,1,10,3
113,0.1,0.31,0.5,19,14,19,91,92,91,10,0.1,1,10,3
114,0.1,0.31,0.5,20,19,15,91,91,93,10,0.1,1,10,3
115,0.1,0.31,0.5,16,22,21,91,92,92,10,0.1,1,10,3
116,0.1,0.31,0.5,20,14,18,91,92,91,10,0.1,1,10,3
117,0.1,0.31,0.5,19,20,15,90,92,93,11,0.1,1,10,3
118,0.1,0.31,0.5,16,21,20,91,92,91,10,0.1,1,10,3
119,0.1,0.31,0.5,20,14,18,91,92,93,10,0.1,1,10,3
120,0.1,0.31,0.5,22,19,17,-177,92,92,78,0.1,0,10,3
