eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
32,0.1,0.31,0.5,21,16,17,84,88,93,17,0.1,1,10,3
33,0.1,0.31,0.5,21,19,12,87,84,92,17,0.1,1,10,3
34,0.1,0.31,0.5,17,17,14,86,88,93,15,0.1,1,10,3
35,0.1,0.31,0.5,21,15,17,86,87,93,15,0.1,1,10,3
36,0.1,0.31,0.5,23,18,12,-146,83,93,47,0.1,0,10,3
37,0.1,0.31,0.5,21,18,14,87,88,93,14,0.1,1,10,3
38,0.1,0.31,0.5,16,15,17,87,88,93,14,0.1,1,10,3
39,0.1,0.31,0.5,23,17,12,87,88,93,14,0.1,1,10,3
40,0.1,0.31,0.5,21,18,14,86,87,93,15,0.1,1,10,3
41,0.1,0.31,0.5,18,16,16,85,86,93,16,0.1,1,10,3
42,0.1,0.31,0.5,21,17,12,-108,88,89,13,0.1,0,10,3
43,0.1,0.31,0.5,23,18,14,84,86,93,17,0.1,1,10,3
44,0.1,0.31,0.5,18,14,16,86,84,92,17,0.1,1,10,3
45,0.1,0.31,0.5,20,16,18,84,86,-116,17,0.1,0,10,3
46,0.1,0.31,0.5,21,17,13,86,-111,92,15,0.1,0,10,3
47,0.1,0.31,0.5,19,17,14,87,87,93,14,0.1,1,10,3
48,0.1,0.31,0.5,23,15,17,-128,88,93,29,0.1,0,10,3
49,0.1,0.31,0.5,23,17,12,80,88,93,21,0.1,1,10,3
50,0.1,0.31,0.5,17,18,14,85,88,93,16,0.1,1,10,3
51,0.1,0.31,0.5,23,15,17,84,88,93,17,0.1,1,10,3
52,0.1,0.31,0.5,20,17,12,85,86,93,16,0.1,1,10,3
53,0.1,0.31,0.5,17,18,14,85,87,93,16,0.1,1,10,3
54,0.1,0.31,0.5,22,14,16,87,87,93,14,0.1,1,10,3
55,0.1,0.31,0.5,20,17,12,87,88,93,14,0.1,1,10,3
56,0.1,0.31,0.5,18,18,15,87,88,93,14,0.1,1,10,3
57,0.1,0.31,0.5,21,15,15,-118,88,-104,19,0.1,0,10,3
58,0.1,0.31,0.5,24,17,16,86,88,93,15,0.1,1,10,3
59,0.1,0.31,0.5,17,18,12,87,88,93,14,0.1,1,10,3
60,0.1,0.31,0.5,22,15,15,83,88,92,18,0.1,1,10,3
61,0.1,0.31,0.5,22,17,17,87,88,93,14,0.1,1,10,3
62,0.1,0.31,0.5,17,17,11,87,-104,91,14,0.1,0,10,3
63,0.1,0.31,0.5,20,17,14,84,-105,91,17,0.1,0,10,3
64,0.1,0.31,0.5,25,18,15,78,86,93,23,0.1,1,10,3
65,0.1,0.31,0.5,16,15,12,89,88,92,13,0.1,1,10,3
66,0.1,0.31,0.5,19,16,16,88,88,92,13,0.1,1,10,3
67,0.1,0.31,0.5,20,19,13,88,84,93,17,0.1,1,10,3
68,0.1,0.31,0.5,16,15,14,89,87,93,14,0.1,1,10,3
69,0.1,0.31,0.5,18,15,14,88,86,93,15,0.1,1,10,3
70,0.1,0.31,0.5,19,17,14,89,88,92,13,0.1,1,10,3
71,0.1,0.31,0.5,18,16,15,87,87,93,14,0.1,1,10,3
72,0.1,0.31,0.5,18,15,14,89,88,92,13,0.1,1,10,3
73,0.1,0.31,0.5,18,16,14,89,88,93,13,0.1,1,10,3
74,0.1,0.31,0.5,19,17,15,88,88,93,13,0.1,1,10,3
75,0.1,0.31,0.5,19,16,14,89,88,93,13,0.1,1,10,3
76,0.1,0.31,0.5,18,16,13,89,87,93,14,0.1,1,10,3
77,0.1,0.31,0.5,17,17,15,84,88,93,17,0.1,1,10,3
78,0.1,0.31,0.5,19,17,15,87,87,91,14,0.1,1,10,3
79,0.1,0.31,0.5,18,15,13,89,88,93,13,0.1,1,10,3
80,0.1,0.31,0.5,17,17,15,88,88,93,13,0.1,1,10,3
81,0.1,0.31,0.5,19,18,13,87,-142,93,43,0.1,0,10,3
82,0.1,0.31,0.5,18,17,13,89,88,91,13,0.1,1,10,3
83,0.1,0.31,0.5,14,15,15,87,87,-102,14,0.1,0,10,3
84,0.1,0.31,0.5,32,18,16,60,87,93,41,0.1,1,10,3
85,0.1,0.31,0.5,21,17,12,88,88,83,18,0.1,1,10,3
86,0.1,0.31,0.5,16,15,16,85,88,93,16,0.1,1,10,3
87,0.1,0.31,0.5,19,17,17,88,88,93,13,0.1,1,10,3
88,0.1,0.31,0.5,28,17,13,70,-103,86,31,0.1,0,10,3
89,0.1,0.31,0.5,17,17,17,89,88,93,13,0.1,1,10,3
90,0.1,0.31,0.5,19,16,15,88,88,93,13,0.1,1,10,3
91,0.1,0.31,0.5,20,17,11,89,87,91,14,0.1,1,10,3
92,0.1,0.31,0.5,15,17,20,87,88,85,16,0.1,1,10,3
93,0.1,0.31,0.5,20,15,16,89,86,93,15,0.1,1,10,3
94,0.1,0.31,0.5,20,19,10,88,84,92,17,0.1,1,10,3
95,0.1,0.31,0.5,15,16,18,89,88,93,13,0.1,1,10,3
96,0.1,0.31,0.5,20,15,16,89,88,93,13,0.1,1,10,3
97,0.1,0.31,0.5,18,17,10,89,88,93,13,0.1,1,10,3
98,0.1,0.31,0.5,17,16,16,87,86,92,15,0.1,1,10,3
99,0.1,0.31,0.5,19,17,16,-110,-103,-101,11,0.1,0,10,3
100,0.1,0.31,0.5,19,17,16,-116,-104,-101,17,0.1,0,10,3
101,0.1,0.31,0.5,14,12,14,-108,-103,92,9,0.1,0,10,3
102,0.1,0.31,0.5,12,12,14,-121,-105,-101,22,0.1,0,10,3
103,0.1,0.31,0.5,13,13,9,-207,-141,89,108,0.1,0,10,3
104,0.1,0.31,0.5,13,13,9,-132,-138,91,39,0.1,0,10,3
105,0.1,0.31,0.5,13,13,9,-266,-170,93,167,0.1,0,10,3
106,0.1,0.31,0.5,29,13,9,61,-114,93,40,0.1,0,10,3
107,0.1,0.31,0.5,19,13,10,83,-168,92,69,0.1,0,10,3
108,0.1,0.31,0.5,24,13,9,83,-165,93,66,0.1,0,10,3
109,0.1,0.31,0.5,24,13,9,73,-109,93,28,0.1,0,10,3
110,0.1,0.31,0.5,21,26,9,85,45,93,56,0.1,1,10,3
111,0.1,0.31,0.5,25,15,17,-142,88,93,43,0.1,0,10,3
112,0.1,0.31,0.5,22,23,9,83,85,90,18,0.1,1,10,3
113,0.1,0.31,0.5,19,21,17,85,88,93,16,0.1,1,10,3
114,0.1,0.31,0.5,24,15,10,85,88,93,16,0.1,1,10,3
115,0.1,0.31,0.5,22,22,16,85,88,93,16,0.1,1,10,3
116,0.1,0.31,0.5,20,21,11,85,88,92,16,0.1,1,10,3
117,0.1,0.31,0.5,24,15,18,85,88,92,16,0.1,1,10,3
118,0.1,0.31,0.5,22,22,17,85,89,92,16,0.1,1,10,3
119,0.1,0.31,0.5,20,22,12,87,87,89,14,0.1,1,10,3
120,0.1,0.31,0.5,29,13,16,69,90,93,32,0.1,1,10,3
121,0.1,0.31,0.5,21,42,9,87,-71,93,172,0.1,1,10,3
122,0.1,0.31,0.5,18,23,17,87,86,93,15,0.1,1,10,3
123,0.1,0.31,0.5,22,18,15,87,82,91,19,0.1,1,10,3
124,0.1,0.31,0.5,21,21,11,87,84,93,17,0.1,1,10,3
125,0.1,0.31,0.5,18,23,15,87,86,93,15,0.1,1,10,3
126,0.1,0.31,0.5,22,19,16,86,86,93,15,0.1,1,10,3
127,0.1,0.31,0.5,21,21,12,87,85,93,16,0.1,1,10,3
128,0.1,0.31,0.5,18,23,15,87,85,93,16,0.1,1,10,3
129,0.1,0.31,0.5,22,19,16,87,86,93,15,0.1,1,10,3
130,0.1,0.31,0.5,21,21,12,87,86,93,15,0.1,1,10,3
131,0.1,0.31,0.5,38,23,16,43,76,91,58,0.1,1,10,3
132,0.1,0.31,0.5,22,19,16,86,83,93,18,0.1,1,10,3
133,0.1,0.31,0.5,21,23,11,87,84,93,17,0.1,1,10,3
134,0.1,0.31,0.5,18,23,15,87,86,93,15,0.1,1,10,3
135,0.1,0.31,0.5,27,19,16,79,86,93,22,0.1,1,10,3
136,0.1,0.31,0.5,20,22,12,84,86,93,17,0.1,1,10,3
137,0.1,0.31,0.5,19,23,15,85,85,93,16,0.1,1,10,3
138,0.1,0.31,0.5,21,17,16,87,86,93,15,0.1,1,10,3
139,0.1,0.31,0.5,21,21,13,86,86,93,15,0.1,1,10,3
140,0.1,0.31,0.5,19,23,15,87,82,91,19,0.1,1,10,3
141,0.1,0.31,0.5,21,17,16,87,86,93,15,0.1,1,10,3
142,0.1,0.31,0.5,19,19,18,87,86,-108,15,0.1,0,10,3
143,0.1,0.31,0.5,20,23,13,87,86,93,15,0.1,1,10,3
144,0.1,0.31,0.5,21,21,14,87,82,93,19,0.1,1,10,3
145,0.1,0.31,0.5,20,20,17,87,85,93,16,0.1,1,10,3
146,0.1,0.31,0.5,19,21,16,87,85,89,16,0.1,1,10,3
147,0.1,0.31,0.5,21,20,17,87,85,93,16,0.1,1,10,3
148,0.1,0.31,0.5,23,21,16,-124,85,93,25,0.1,0,10,3
