eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
67,0.1,0.31,0.5,20,23,16,91,88,91,13,0.1,1,10,3
68,0.1,0.31,0.5,23,21,21,91,90,93,11,0.1,1,10,3
69,0.1,0.31,0.5,20,19,20,91,90,93,11,0.1,1,10,3
70,0.1,0.31,0.5,20,22,15,91,89,93,12,0.1,1,10,3
71,0.1,0.31,0.5,22,26,20,91,-110,93,11,0.1,0,10,3
72,0.1,0.31,0.5,17,19,20,91,90,93,11,0.1,1,10,3
73,0.1,0.31,0.5,24,18,15,89,89,93,12,0.1,1,10,3
74,0.1,0.31,0.5,22,25,21,91,90,93,11,0.1,1,10,3
75,0.1,0.31,0.5,17,19,19,89,88,93,13,0.1,1,10,3
76,0.1,0.31,0.5,23,19,14,91,88,93,13,0.1,1,10,3
77,0.1,0.31,0.5,22,25,20,90,87,93,14,0.1,1,10,3
78,0.1,0.31,0.5,18,20,21,91,90,93,11,0.1,1,10,3
79,0.1,0.31,0.5,22,19,18,90,90,90,11,0.1,1,10,3
80,0.1,0.31,0.5,22,21,22,82,89,93,19,0.1,1,10,3
81,0.1,0.31,0.5,19,21,21,91,87,93,14,0.1,1,10,3
82,0.1,0.31,0.5,19,21,14,91,89,93,12,0.1,1,10,3
83,0.1,0.31,0.5,22,22,19,90,90,93,11,0.1,1,10,3
84,0.1,0.31,0.5,19,25,20,91,-108,93,10,0.1,0,10,3
85,0.1,0.31,0.5,22,21,15,89,90,93,12,0.1,1,10,3
86,0.1,0.31,0.5,27,15,14,-240,90,93,141,0.1,0,10,3
87,0.1,0.31,0.5,20,22,21,91,90,93,11,0.1,1,10,3
88,0.1,0.31,0.5,17,23,15,91,90,93,11,0.1,1,10,3
89,0.1,0.31,0.5,25,18,19,91,90,92,11,0.1,1,10,3
90,0.1,0.31,0.5,21,22,24,90,90,92,11,0.1,1,10,3
91,0.1,0.31,0.5,17,24,16,88,87,93,14,0.1,1,10,3
92,0.1,0.31,0.5,22,19,16,89,89,93,12,0.1,1,10,3
93,0.1,0.31,0.5,21,22,22,91,90,93,11,0.1,1,10,3
94,0.1,0.31,0.5,13,20,26,91,90,-110,11,0.1,0,10,3
95,0.1,0.31,0.5,25,19,18,91,86,93,15,0.1,1,10,3
96,0.1,0.31,0.5,25,25,17,91,88,93,13,0.1,1,10,3
97,0.1,0.31,0.5,13,20,23,91,90,93,11,0.1,1,10,3
98,0.1,0.31,0.5,24,18,14,91,90,93,11,0.1,1,10,3
99,0.1,0.31,0.5,26,25,20,91,-107,92,10,0.1,0,10,3
100,0.1,0.31,0.5,12,25,25,91,-107,93,10,0.1,0,10,3
101,0.1,0.31,0.5,24,23,14,91,92,93,10,0.1,1,10,3
102,0.1,0.31,0.5,20,12,19,91,92,93,10,0.1,1,10,3
103,0.1,0.31,0.5,25,24,19,-113,92,93,14,0.1,0,10,3
104,0.1,0.31,0.5,10,23,15,91,91,93,10,0.1,1,10,3
105,0.1,0.31,0.5,24,13,21,91,92,93,10,0.1,1,10,3
106,0.1,0.31,0.5,25,24,21,91,92,93,10,0.1,1,10,3
107,0.1,0.31,0.5,11,22,25,91,92,-108,10,0.1,0,10,3
108,0.1,0.31,0.5,23,13,16,91,92,92,10,0.1,1,10,3
109,0.1,0.31,0.5,25,24,17,91,91,93,10,0.1,1,10,3
110,0.1,0.31,0.5,12,22,23,91,92,93,10,0.1,1,10,3
111,0.1,0.31,0.5,23,13,16,91,92,93,10,0.1,1,10,3
112,0.1,0.31,0.5,25,23,18,-108,90,93,11,0.1,0,10,3
113,0.1,0.31,0.5,25,23,23,91,91,93,10,0.1,1,10,3
114,0.1,0.31,0.5,14,12,16,80,92,93,21,0.1,1,10,3
115,0.1,0.31,0.5,25,24,18,91,92,93,10,0.1,1,10,3
116,0.1,0.31,0.5,25,24,23,91,92,93,10,0.1,1,10,3
117,0.1,0.31,0.5,10,12,16,91,92,93,10,0.1,1,10,3
118,0.1,0.31,0.5,24,23,19,91,92,92,10,0.1,1,10,3
119,0.1,0.31,0.5,25,24,24,91,92,93,10,0.1,1,10,3
120,0.1,0.31,0.5,11,13,16,91,92,93,10,0.1,1,10,3
121,0.1,0.31,0.5,29,20,15,60,92,93,41,0.1,1,10,3
122,0.1,0.31,0.5,20,24,23,91,92,93,10,0.1,1,10,3
123,0.1,0.31,0.5,16,14,17,91,92,93,10,0.1,1,10,3
124,0.1,0.31,0.5,24,21,18,91,90,91,11,0.1,1,10,3
125,0.1,0.31,0.5,19,23,26,91,92,-193,94,0.1,0,10,3
126,0.1,0.31,0.5,15,13,26,91,89,-105,12,0.1,0,10,3
127,0.1,0.31,0.5,31,17,24,69,92,92,32,0.1,1,10,3
128,0.1,0.31,0.5,19,25,10,91,92,93,10,0.1,1,10,3
129,0.1,0.31,0.5,17,16,24,84,92,93,17,0.1,1,10,3
130,0.1,0.31,0.5,23,19,22,91,92,93,10,0.1,1,10,3
131,0.1,0.31,0.5,21,25,11,91,92,93,10,0.1,1,10,3
132,0.1,0.31,0.5,25,16,24,-108,92,93,9,0.1,0,10,3
133,0.1,0.31,0.5,16,18,22,91,91,93,10,0.1,1,10,3
134,0.1,0.31,0.5,19,22,10,90,90,92,11,0.1,1,10,3
135,0.1,0.31,0.5,21,18,25,91,92,91,10,0.1,1,10,3
136,0.1,0.31,0.5,18,18,24,91,92,93,10,0.1,1,10,3
137,0.1,0.31,0.5,17,22,25,91,92,-106,10,0.1,0,10,3
138,0.1,0.31,0.5,22,19,9,91,91,91,10,0.1,1,10,3
139,0.1,0.31,0.5,21,19,22,89,92,93,12,0.1,1,10,3
140,0.1,0.31,0.5,17,22,24,91,92,93,10,0.1,1,10,3
141,0.1,0.31,0.5,21,19,11,91,92,93,10,0.1,1,10,3
142,0.1,0.31,0.5,22,20,21,91,90,93,11,0.1,1,10,3
143,0.1,0.31,0.5,16,22,24,91,92,93,10,0.1,1,10,3
144,0.1,0.31,0.5,22,19,12,91,92,93,10,0.1,1,10,3
145,0.1,0.31,0.5,22,19,21,91,92,93,10,0.1,1,10,3
146,0.1,0.31,0.5,16,22,24,91,92,93,10,0.1,1,10,3
147,0.1,0.31,0.5,22,20,12,90,89,93,12,0.1,1,10,3
148,0.1,0.31,0.5,21,19,21,91,92,93,10,0.1,1,10,3
